,ticker,name,market_cap,sector,industry
282,0Z1W.L,KKR & Co. Inc.,146202493400,Financial Services,Financial - Diversified
283,AP2.DE,"Applied Materials, Inc.",145863575480,Technology,Semiconductors
284,SCHW,The Charles Schwab Corporation,145629577800,Financial Services,Financial - Capital Markets
285,UBER,"Uber Technologies, Inc.",144367477600,Technology,Software - Application
286,HON,Honeywell International Inc.,144036212970,Industrials,Conglomerates
287,CMCSA,Comcast Corporation,143599302000,Communication Services,Telecommunications Services
288,UNP.DE,Union Pacific Corporation,143561657600,Industrials,Railroads
289,BX,Blackstone Inc.,143418453505,Financial Services,Asset Management
290,NPFFX,"New Perspective Fund, Class F-1 Shares",142257766358,Financial Services,Asset Management
291,ANWPX,American Funds New Perspective Fund Class A,142257766358,Financial Services,Asset Management
292,BSX.F,Boston Scientific Corporation,142224595000,Healthcare,Medical - Devices
293,AGGP.L,WisdomTree Grains,142176867530,Financial Services,Asset Management
294,VGSLX,Vanguard Real Estate Index Fund Admiral Shares,141458145173,Real Estate,Real Estate - General
295,AFIFX,"Fundamental Investors, Class F01 Shares",140811861985,Financial Services,Asset Management
296,AMG.DE,Amgen Inc.,140806769350,Healthcare,Drug Manufacturers - General
297,PFE.DE,Pfizer Inc.,140598021900,Healthcare,Drug Manufacturers - General
298,PFE.F,Pfizer Inc.,140116327750,Healthcare,Drug Manufacturers - General
299,PGR,The Progressive Corporation,139903621840,Financial Services,Insurance - Property & Casualty
300,ALD.DE,Honeywell International Inc.,139900642050,Industrials,Conglomerates
301,0KOC.L,The Progressive Corporation,139245637802,Financial Services,Insurance - Property & Casualty
302,UT8.DE,"Uber Technologies, Inc.",138639946400,Industrials,General Transportation
303,TJX,"The TJX Companies, Inc.",137968156800,Consumer Cyclical,Apparel - Retail
304,0LCE.L,"The TJX Companies, Inc.",137968156730,Consumer Cyclical,Apparel - Retail
305,MARA.MX,"Marathon Digital Holdings, Inc.",137928238620,Financial Services,Financial - Capital Markets
306,CTP2.DE,Comcast Corporation,135678819500,Communication Services,Telecommunications Services
307,BA,The Boeing Company,131723866560,Industrials,Aerospace & Defense
308,COP,ConocoPhillips,131723214800,Energy,Oil & Gas Exploration & Production
309,0QZA.L,ConocoPhillips,131723214776,Energy,Oil & Gas Energy
310,DE,Deere & Company,130393488270,Industrials,Agricultural - Machinery
311,KOS.L,Kosmos Energy Ltd.,130243020000,Energy,Oil & Gas Exploration & Production
312,0R2P.L,Deere & Company,129835168720,Industrials,Industrial - Capital Goods
313,PYPL.NE,"PayPal Holdings, Inc.",129454326573,Financial Services,Financial - Credit Services
314,INTC.NE,Intel Corporation,129390457386,Technology,Semiconductors
315,BCO.DE,The Boeing Company,126741014400,Industrials,Aerospace & Defense
316,YCP.DE,ConocoPhillips,126393747600,Energy,Oil & Gas Exploration & Production
317,AEGFX,American Funds EuroPacific Growth Cl F-1 Shs,125538746338,Financial Services,Asset Management
318,RERGX,American Funds EuroPacific Growth Fund Class R-6,125538746322,Financial Services,Asset Management
319,NOV.MX,NOV Inc.,125456244638,Energy,Oil & Gas Equipment & Services
320,CWGFX,American Funds Capital World Growth & Income Fund Class F-1 Shs,124483624952,Financial Services,Asset Management - Income
321,RWICX,American Funds Capital World Growth and Income Fund Class R-3,124483624904,Financial Services,Asset Management - Income
322,AMECX,American Funds The Income Fund of America Class A,124343017455,Financial Services,Asset Management - Income
323,IFAFX,"The Income Fund of America, Class F-1 Shares",124343017454,Financial Services,Asset Management - Income
324,DCO.DE,Deere & Company,123443090750,Industrials,Agricultural - Machinery
325,PANW,"Palo Alto Networks, Inc.",123168740000,Technology,Software - Infrastructure
326,0KF5.L,"Palo Alto Networks, Inc.",123109682000,Technology,Software - Services
327,APP,AppLovin Corporation,121853384396,Technology,Software - Application
328,0HJI.L,"Automatic Data Processing, Inc.",121352918310,Technology,Software - Services
329,ADP,"Automatic Data Processing, Inc.",121055474700,Industrials,Staffing & Employment Services
330,BMY,Bristol-Myers Squibb Company,121021500600,Healthcare,Drug Manufacturers - General
331,BMYMP,Bristol-Myers Squibb Company PFD CONV 2,121021295855,Healthcare,Drug Manufacturers - General
332,AGG,iShares Core U.S. Aggregate Bond ETF,119917955563,Financial Services,Asset Management
333,IBTL.L,iShares $ Treasury Bond 20+yr UCITS ETF USD (Dist),118944363233,Financial Services,Asset Management - Bonds
334,FI,"Fiserv, Inc.",118813043960,Technology,Information Technology Services
335,0IP9.L,"Fiserv, Inc.",118813043943,Technology,Software - Services
336,IEFA,iShares Core MSCI EAFE ETF,118648064847,Financial Services,Asset Management
337,INDV.L,Indivior PLC,118591320000,Healthcare,Drug Manufacturers - Specialty & Generic
338,LMT,Lockheed Martin Corporation,117796913600,Industrials,Aerospace & Defense
339,0R3E.L,Lockheed Martin Corporation,117687877500,Industrials,Industrial - Capital Goods
340,IWF,iShares Russell 1000 Growth ETF,117666766754,Financial Services,Asset Management
341,PAXG.L,Lyxor MSCI Pacific Ex Japan UCITS ETF,116402739600,Financial Services,Asset Management
342,VSMAX,Vanguard Small Cap Index Fd Admiral Shs,116279803817,,
343,VSCIX,Vanguard Small-Cap Index Fund Institutional Shares,116270161890,Financial Services,Asset Management
344,GILD,"Gilead Sciences, Inc.",115990348900,Healthcare,Drug Manufacturers - General
345,GEV,GE Vernova Inc.,115909321560,Utilities,Renewable Utilities
346,MU,"Micron Technology, Inc.",114971202300,Technology,Semiconductors
347,BRM.DE,Bristol-Myers Squibb Company,114876115200,Healthcare,Drug Manufacturers - General
348,AMAP.L,Saturna Al-Kawthar Global Focused Equity UCITS ETF,114845040604,Financial Services,Asset Management
349,0R08.L,"United Parcel Service, Inc.",113523772315,Industrials,General Transportation
350,UPS,"United Parcel Service, Inc.",113523768796,Industrials,Integrated Freight & Logistics
351,VRTX,Vertex Pharmaceuticals Incorporated,113214898980,Healthcare,Biotechnology
352,0QZU.L,Vertex Pharmaceuticals Incorporated,113214898703,Healthcare,Medical - Pharmaceuticals
353,VWENX,Vanguard Wellington Fund Admiral Shares,112270622710,Financial Services,Asset Management
354,VWELX,Vanguard Wellington Fund,112270622692,Financial Services,Asset Management
355,SBUX,Starbucks Corporation,112030778000,Consumer Cyclical,Restaurants
356,LOM.DE,Lockheed Martin Corporation,111833113000,Industrials,Aerospace & Defense
357,GIS.DE,"Gilead Sciences, Inc.",110967880800,Healthcare,Drug Manufacturers - General
358,MTE.DE,"Micron Technology, Inc.",110224838100,Technology,Semiconductors
359,PLD,"Prologis, Inc.",110149992750,Real Estate,REIT - Industrial
360,0KOD.L,"Prologis, Inc.",110149992643,Real Estate,REIT - Industrial
361,NKE,"NIKE, Inc.",108820045011,Consumer Cyclical,Apparel - Footwear & Accessories
362,CEG,Constellation Energy Corporation,108667627504,Utilities,Renewable Utilities
363,EP-PC,El Paso Energy Capital Trust I PFD CV TR SECS,108366940000,Energy,Oil & Gas Midstream
364,VX1.DE,Vertex Pharmaceuticals Incorporated,107840268750,Healthcare,Biotechnology
365,ADI,"Analog Devices, Inc.",107838778590,Technology,Semiconductors
366,0HFN.L,"Analog Devices, Inc.",107838778462,Technology,Semiconductors
367,MMC,"Marsh & McLennan Companies, Inc.",107536073120,Financial Services,Insurance - Brokers
368,MRVL,"Marvell Technology, Inc.",107314506000,Technology,Semiconductors
369,TFGS.L,Tetragon Financial Group Limited,107176080000,Financial Services,Asset Management
370,SRB.DE,Starbucks Corporation,106089666000,Consumer Cyclical,Restaurants
371,CIBFX,Capital  Income Builder Cl F-1 Shs,105612312564,Financial Services,Asset Management - Income
372,FSKAX,Fidelity Total Market Index Fund,104683249598,Financial Services,Asset Management
373,NKE.DE,"NIKE, Inc.",104493993679,Consumer Cyclical,Apparel - Footwear & Accessories
374,SEEGX,JPMorgan Large Cap Growth Fund I Class,103792197590,Financial Services,Asset Management
375,JLGRX,JPMorgan Large Cap Growth Fund,103792197590,Financial Services,Asset Management
376,JLGMX,JPMorgan Large Cap Growth Fund Class R6,103792197588,Financial Services,Asset Management
377,VDADX,Vanguard Dividend Appreciation Index Fund Admiral Shs,103017144277,Financial Services,Asset Management
378,VIG,Vanguard Dividend Appreciation Index Fund,102950977026,Financial Services,Asset Management
379,0HW4.L,"Charter Communications, Inc.",102730683081,Technology,Media & Entertainment
380,VUG,Vanguard Growth Index Fund,102641245948,Financial Services,Asset Management
381,LRCX,Lam Research Corporation,102522662400,Technology,Semiconductors
382,0JT5.L,Lam Research Corporation,101647720000,Technology,Semiconductors
383,KLAC,KLA Corporation,100295922450,Technology,Semiconductors
